,Value
133," Skip to content       Follow us:FacebookTwitterInstagramYouTubeRSSMore            Alt News  Alternative News and Views in the Post-Truth World   Home DONATE ऑल्ट न्यूज़ हिंदी वेबसाइट About   Editorial Policy Alt News Policy on Hate Speech Methodology for fact checking Sourcing of information Privacy Policy Transparency of funding Editorial Team Directors Correction policy   Contact   Subscribe via Email   More      Search for:          Menu      Alt News  Alternative News and Views in the Post-Truth World      Search      Search for:                        Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                                                 All the content on the Alt News website, except where otherwise noted, is licensed under the Creative Commons Attribution 3.0 Unported License.     "
134,     Follow us:FacebookTwitterInstagramYouTubeRSSMore    
135,    Follow us:FacebookTwitterInstagramYouTubeRSSMore   
136,   Follow us:FacebookTwitterInstagramYouTubeRSSMore  
137,  Follow us:FacebookTwitterInstagramYouTubeRSSMore 
138,       Alt News  Alternative News and Views in the Post-Truth World   Home DONATE ऑल्ट न्यूज़ हिंदी वेबसाइट About   Editorial Policy Alt News Policy on Hate Speech Methodology for fact checking Sourcing of information Privacy Policy Transparency of funding Editorial Team Directors Correction policy   Contact   Subscribe via Email   More      Search for:          Menu      Alt News  Alternative News and Views in the Post-Truth World      Search      Search for:             
139,      Alt News  Alternative News and Views in the Post-Truth World   Home DONATE ऑल्ट न्यूज़ हिंदी वेबसाइट About   Editorial Policy Alt News Policy on Hate Speech Methodology for fact checking Sourcing of information Privacy Policy Transparency of funding Editorial Team Directors Correction policy   Contact   Subscribe via Email   More      Search for:          Menu      Alt News  Alternative News and Views in the Post-Truth World      Search      Search for:            
140,     Alt News  Alternative News and Views in the Post-Truth World   Home DONATE ऑल्ट न्यूज़ हिंदी वेबसाइट About   Editorial Policy Alt News Policy on Hate Speech Methodology for fact checking Sourcing of information Privacy Policy Transparency of funding Editorial Team Directors Correction policy   Contact   Subscribe via Email   More      Search for:          Menu      Alt News  Alternative News and Views in the Post-Truth World      Search      Search for:           
141,    Alt News  Alternative News and Views in the Post-Truth World   Home DONATE ऑल्ट न्यूज़ हिंदी वेबसाइट About   Editorial Policy Alt News Policy on Hate Speech Methodology for fact checking Sourcing of information Privacy Policy Transparency of funding Editorial Team Directors Correction policy   Contact   Subscribe via Email   More      Search for:     
142,   Alt News  Alternative News and Views in the Post-Truth World  
143,  Alt News  Alternative News and Views in the Post-Truth World 
144,Alt News
145,Alternative News and Views in the Post-Truth World
146,   Search for:    
147,    Menu      Alt News  Alternative News and Views in the Post-Truth World      Search      Search for:          
148,   Menu   
149,   Alt News  Alternative News and Views in the Post-Truth World  
150,  Alt News  Alternative News and Views in the Post-Truth World 
151,Alt News
152,Alternative News and Views in the Post-Truth World
153,    Search      Search for:         
154,     Search for:      
155,    Search for:     
156,   Search for:    
157,"         Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                             "
158,"        Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                            "
159,"       Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                           "
160,"      Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                          "
161,"     Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                         "
162,"  Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                      "
163,"              Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                   "
164,"             Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair         "
