,Value
64,"












The Poynter Institute








Menu




Donate











State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin











Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+










People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis










Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos








Campaigns





2024 Elections










Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire








Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises











About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters












Donate





Follow us


















The Facts Newsletter







Sign up







































Stand up for the facts!


Our only agenda is to publish the truth so you can be an informed participant in democracy.
We need your help.


More Info






I would like to contribute















One Time
Monthly
Yearly






Join Now







Advertisement






















What to know about Supreme Court case about Trump on ballot




By Louis Jacobson • February 8, 2024






























Elon Musk


stated on February 2, 2024 in an X post:








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”






























Facebook posts


stated on January 11, 2024 in una publicación en Facebook:








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".






























Instagram posts


stated on January 26, 2024 in an Instagram post:








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.






























Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show:








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""






























Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter:








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”

































Latest Fact-checks





















Viral image


stated on February 6, 2024 in a Facebook post








Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024




















Instagram posts


stated on February 4, 2024 in an Instagram post








Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024




















Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias








Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024




















Tucker Carlson


stated on February 6, 2024 in a video posted on X.








Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 31, 2024 in an Instagram post








The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024




















Instagram posts


stated on January 30, 2024 in an Instagram post








“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024




















Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News








“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 30, 2024 in a video








President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024




















Joe Biden


stated on February 4, 2024 in a post on X








“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024




















Instagram posts


stated on February 5, 2024 in an Instagram post








Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024









View all




Get PolitiFact in your Inbox


Sign Upp















Latest Articles























Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024





















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024





















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024





















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024





















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024





















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024





















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024





















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024





















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024





















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024








View all













Most Recent Promises





















Joe Biden


 








Forgive student loan debt from public colleges and universities




Biden unveils new round of incremental student loan relief
| October 10, 2023




















Joe Biden


 








Increase refugee admissions




Joe Biden keeps promise to raise refugee admissions to 125,000
| July 6, 2023




















Joe Biden


 








Expand broadband, or wireless broadband via 5G, to every American




Biden announces more than $42 billion for states to invest in high-speed internet
| July 6, 2023




















Joe Biden


 








Expand Justice Department power to address police misconduct




Biden keeps promise on Justice Department police investigations, including Minneapolis probe
| June 16, 2023




















Joe Biden


 








Use a national commission to address policing issues




Following Tyre Nichols’ death, Biden reiterates call for police reform
| January 27, 2023















Editor's Picks











Elon Musk


stated on February 2, 2024 in an X post








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”












By Amy Sherman • February 6, 2024










Facebook posts


stated on January 11, 2024 in una publicación en Facebook








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".












By Marta Campabadal Graus • February 6, 2024










Instagram posts


stated on January 26, 2024 in an Instagram post








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.












By Jeff Cercone • February 6, 2024










Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""












By Louis Jacobson • February 6, 2024










Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”












By Laura Schulte • February 6, 2024

















Sign Up For Our Weekly Newsletter
























People





















Joe Biden




















Citizens for Sanity




















Jeh Johnson




















Francis Suarez




















Donald Trump









View more











Fact-checking around the Web





















Posts misrepresent the status of a bill that could disqualify Trump from the ballot in Hawaii



By Associated Press • February 8, 2024



















Trump says Jan. 6 was ‘an insurrection caused by Nancy Pelosi’



By CNN • February 8, 2024



















Vehicles contribute fewer emissions than gasoline-powered cars over their lifetimes



By FactCheck.org • February 8, 2024



















No evidence to link UK excess deaths to COVID-19 vaccines



By Reuters • February 7, 2024



















Is gun violence really the leading cause of death for children?



By Washington Post FactChecker • February 7, 2024








View more






















Inside PolitiFact




Fact-checking journalism is the heart of PolitiFact. Our core principles are independence, transparency, fairness, thorough reporting and clear writing. The reason we publish is to give citizens the information they need to govern themselves in a democracy.





Our Process




Our Team




Who pays for PolitiFact?











Support independent fact-checking.
Become a member!




In a world of wild talk and fake news, help us stand up for the facts.



Sign me up


















Offices




District of Columbia



1800 I Street NW

Washington, DC
20006



Florida


801 3rd St. S

St. Petersburg, FL
33701
727-821-9494







People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis









State Editions



California
Florida
Iowa
Michigan
New Hampshire
New York
North Carolina
Pennsylvania
Texas
West Virginia
Wisconsin







About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Corrections and Updates





Newsletters








RSS Feeds





Recent Articles and Fact-checks




Recent Fact-checks








Suggest a Fact-check










Follow us


















The Facts Newsletter








Sign up








Terms & Conditions


Privacy Policy


Copyright


©All Rights Reserved Poynter Institute 2020, a 501(c)(3) nonprofit organization







"
65,"










The Poynter Institute








Menu




Donate


"
66,"









The Poynter Institute




"
67,"


Menu

"
68,"

Donate

"
69,"







State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin











Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+










People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis










Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos








Campaigns





2024 Elections










Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire








Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises











About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters












Donate





Follow us


















The Facts Newsletter







Sign up




"
70,"






State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin











Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+










People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis










Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos








Campaigns





2024 Elections










Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire








Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises











About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters








"
71,"





State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin











Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+










People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis










Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos








Campaigns





2024 Elections










Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire








Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises











About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters







"
72,"




State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin











Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+










People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis










Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos








Campaigns





2024 Elections










Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire








Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises











About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters






"
73,"



State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin






"
74,"


State Editions





California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin





"
75,"



California




Florida




Iowa




Michigan




New Hampshire




New York




North Carolina




Pennsylvania




Texas




West Virginia




Wisconsin




"
76,"



Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+





"
77,"


Issues




All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+




"
78,"


All Issues



Online hoaxes




Coronavirus




Health Care




Immigration




Extremism




Taxes




Marijuana




Environment




Crime




Guns




Foreign Policy




LGBTQ+



"
79,"



People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis





"
80,"


People





All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis




"
81,"



All People




Joe Biden




Kamala Harris




Donald Trump




Mitch McConnell




Hakeem Jeffries




Ron DeSantis



"
82,"



Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos








Campaigns





2024 Elections





"
83,"


Media





PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos




"
84,"



PunditFact




Tucker Carlson




Sean Hannity




Rachel Maddow




Bloggers




PolitiFact Videos



"
85,"


Campaigns





2024 Elections




"
86,"



2024 Elections



"
87,"



Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire








Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises






"
88,"


Truth-o-Meter





True




Mostly True




Half True




Mostly False




False




Pants on Fire




"
89,"



True




Mostly True




Half True




Mostly False




False




Pants on Fire



"
90,"


Promises





Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises





"
91,"



Biden Promise Tracker




Trump-O-Meter




Obameter



Latest Promises




"
92,"



About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters





"
93,"


About Us





Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters




"
94,"



Our Process




Our Staff




En Español




Who pays for PolitiFact?




Advertise with Us




Suggest a Fact-check




Corrections and Updates




Newsletters



"
95,"


Donate





Follow us


















The Facts Newsletter







Sign up



"
96,"

Donate

"
97,"


Follow us














"
98,"

Follow us













"
99,"










"
100,"


The Facts Newsletter







Sign up


"
101,"

The Facts Newsletter







Sign up

"
102,"
The Facts Newsletter
"
103,"

"
104,"




















"
105,"


















"
106,"








"
107,"






"
108,"



"
109,"



Stand up for the facts!


Our only agenda is to publish the truth so you can be an informed participant in democracy.
We need your help.


More Info






I would like to contribute















One Time
Monthly
Yearly






Join Now




"
110,"


Stand up for the facts!


Our only agenda is to publish the truth so you can be an informed participant in democracy.
We need your help.


More Info


"
111,"

Stand up for the facts!


Our only agenda is to publish the truth so you can be an informed participant in democracy.
We need your help.


More Info

"
112,"


I would like to contribute















One Time
Monthly
Yearly






Join Now



"
113,"

I would like to contribute















One Time
Monthly
Yearly






Join Now


"
114,"











One Time
Monthly
Yearly




"
115,"





"
116,"

"
117,"



One Time
Monthly
Yearly



"
118,"

One Time
Monthly
Yearly

"
119,Advertisement
120,
121,
122,"

















What to know about Supreme Court case about Trump on ballot




By Louis Jacobson • February 8, 2024





"
123,"








"
124,"






"
125,"




What to know about Supreme Court case about Trump on ballot




By Louis Jacobson • February 8, 2024


"
126,"



What to know about Supreme Court case about Trump on ballot




By Louis Jacobson • February 8, 2024

"
127,"


What to know about Supreme Court case about Trump on ballot


"
128,"

What to know about Supreme Court case about Trump on ballot

"
129,"





















Elon Musk


stated on February 2, 2024 in an X post:








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”






























Facebook posts


stated on January 11, 2024 in una publicación en Facebook:








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".






























Instagram posts


stated on January 26, 2024 in an Instagram post:








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.






























Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show:








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""






























Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter:








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”
























"
130,"















Elon Musk


stated on February 2, 2024 in an X post:








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”






























Facebook posts


stated on January 11, 2024 in una publicación en Facebook:








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".






























Instagram posts


stated on January 26, 2024 in an Instagram post:








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.






























Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show:








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""






























Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter:








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”















"
131,"














Elon Musk


stated on February 2, 2024 in an X post:








Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”














"
132,"












Elon Musk


stated on February 2, 2024 in an X post:


"
133,"








"
134,"






"
135,"




"
136,"

Elon Musk


stated on February 2, 2024 in an X post:

"
137,"
stated on February 2, 2024 in an X post:
"
138,"




Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”












"
139,"



Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”











"
140,"


Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”


"
141,"

Biden’s strategy is to “get as many illegals in the country as possible” and “legalize them to create a permanent majority.”

"
142,"






"
143,"




"
144,"














Facebook posts


stated on January 11, 2024 in una publicación en Facebook:








""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".














"
145,"












Facebook posts


stated on January 11, 2024 in una publicación en Facebook:


"
146,"








"
147,"






"
148,"




"
149,"

Facebook posts


stated on January 11, 2024 in una publicación en Facebook:

"
150,"
stated on January 11, 2024 in una publicación en Facebook:
"
151,"




""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".












"
152,"



""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".











"
153,"


""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".


"
154,"

""El Comité Central Chino para la Calidad de los Alimentos ha anunciado la prohibición de la venta de Coca-Cola para consumo humano en todo el país"".

"
155,"






"
156,"




"
157,"














Instagram posts


stated on January 26, 2024 in an Instagram post:








""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.














"
158,"












Instagram posts


stated on January 26, 2024 in an Instagram post:


"
159,"








"
160,"






"
161,"




"
162,"

Instagram posts


stated on January 26, 2024 in an Instagram post:

"
163,"
stated on January 26, 2024 in an Instagram post:
"
164,"




""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.












"
165,"



""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.











"
166,"


""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.


"
167,"

""Last time Democrats removed a Republican from the ballot” was Abraham Lincoln in 1860.

"
168,"






"
169,"




"
170,"














Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show:








In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""














"
171,"












Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show:


"
172,"








"
173,"






"
174,"




"
175,"

Donald Trump


stated on February 5, 2024 in an appearance on Dan Bongino's show:

"
176,"
stated on February 5, 2024 in an appearance on Dan Bongino's show:
"
177,"




In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""












"
178,"



In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""











"
179,"


In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""


"
180,"

In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""

"
181,"






"
182,"




"
183,"














Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter:








“Wisconsin had over 1,400 opioid overdose deaths in 2022.”














"
184,"












Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter:


"
185,"








"
186,"






"
187,"




"
188,"

Tammy Baldwin


stated on January 21, 2024 in X, formerly Twitter:

"
189,"
stated on January 21, 2024 in X, formerly Twitter:
"
190,"




“Wisconsin had over 1,400 opioid overdose deaths in 2022.”












"
191,"



“Wisconsin had over 1,400 opioid overdose deaths in 2022.”











"
192,"


“Wisconsin had over 1,400 opioid overdose deaths in 2022.”


"
193,"

“Wisconsin had over 1,400 opioid overdose deaths in 2022.”

"
194,"






"
195,"




"
196,"





"
197,"


"
198,
199,
200,
201,"





Latest Fact-checks





















Viral image


stated on February 6, 2024 in a Facebook post








Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024




















Instagram posts


stated on February 4, 2024 in an Instagram post








Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024




















Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias








Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024




















Tucker Carlson


stated on February 6, 2024 in a video posted on X.








Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 31, 2024 in an Instagram post








The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024




















Instagram posts


stated on January 30, 2024 in an Instagram post








“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024




















Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News








“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 30, 2024 in a video








President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024




















Joe Biden


stated on February 4, 2024 in a post on X








“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024




















Instagram posts


stated on February 5, 2024 in an Instagram post








Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024









View all




Get PolitiFact in your Inbox


Sign Upp















Latest Articles























Biden won’t be charged in classified documents case, but special counsel report questions his memory



By Louis Jacobson • February 9, 2024





















U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know



By Louis Jacobson • February 8, 2024





















We want to be more transparent with you about our fact-checking. Here’s how



By Ellen Hine • February 8, 2024





















Sen. Chris Murphy said ‘the border never closes.’ What does that mean?



By Samantha Putterman • February 7, 2024





















As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic



By Maria Ramirez Uribe • February 7, 2024





















Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?



By Samantha Putterman • February 6, 2024





















Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory



By Madison Czopek • February 2, 2024





















What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?



By Louis Jacobson • February 2, 2024





















Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?



By Maria Ramirez Uribe • February 2, 2024





















Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution



By Louis Jacobson • February 1, 2024








View all



"
202,"



Latest Fact-checks





















Viral image


stated on February 6, 2024 in a Facebook post








Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”












By Grace Abels • February 8, 2024




















Instagram posts


stated on February 4, 2024 in an Instagram post








Video shows “Putin refused to acknowledge Netanyahu.”












By Sofia Ahmed • February 8, 2024




















Kamala Harris


stated on January 29, 2024 in an interview with Univision Noticias








Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.












By Marta Campabadal Graus • February 8, 2024




















Tucker Carlson


stated on February 6, 2024 in a video posted on X.








Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 31, 2024 in an Instagram post








The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.












By Sofia Ahmed • February 8, 2024




















Instagram posts


stated on January 30, 2024 in an Instagram post








“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”












By Loreben Tuquero • February 8, 2024




















Jesse Watters


stated on January 31, 2024 in a segment of ""Jesse Watters Primetime"" on Fox News








“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.












By Madison Czopek • February 8, 2024




















Instagram posts


stated on January 30, 2024 in a video








President Joe Biden admitted to using the Justice Department to pursue his political foes.












By Kwasi Gyamfi Asiedu • February 8, 2024




















Joe Biden


stated on February 4, 2024 in a post on X








“Inflation has been at the pre-pandemic level of 2% over the last half year.”












By Louis Jacobson • February 7, 2024




















Instagram posts


stated on February 5, 2024 in an Instagram post








Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.












By Sofia Ahmed • February 7, 2024









View all

"
203,"


Latest Fact-checks


"
